"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/05/2022","4.630","4.750","4.760","4.250","3,67B","-4,93%"
"01/04/2022","4.870","4.690","4.980","4.530","3,03B","4,51%"
"01/03/2022","4.660","4.850","4.860","4.370","4,61B","2,42%"
"01/02/2022","4.550","4.120","4.550","4.060","3,08B","11,79%"
"01/01/2022","4.070","4.120","4.240","4.000","2,16B","-0,97%"
"01/12/2021","4.110","4.090","4.250","4.050","2,37B","0,49%"
"01/11/2021","4.090","4.330","4.340","4.080","2,92B","-3,76%"
"01/10/2021","4.250","3.850","4.460","3.830","4,75B","10,39%"
"01/09/2021","3.850","3.834","3.883","3.500","6,03B","0,41%"
"01/08/2021","3.834","3.678","3.990","3.610","2,30B","5,93%"
"01/07/2021","3.620","3.844","3.932","3.610","2,19B","-5,84%"
"01/06/2021","3.844","4.244","4.283","3.766","3,41B","-7,51%"
"01/05/2021","4.156","3.961","4.176","3.727","2,84B","5,19%"
"01/04/2021","3.951","4.244","4.351","3.951","2,82B","-7,95%"
"01/03/2021","4.293","4.683","4.761","4.156","2,53B","-6,58%"
"01/02/2021","4.595","4.078","4.751","3.863","2,78B","12,68%"
"01/01/2021","4.078","4.049","4.829","4.049","3,69B","0,24%"
"01/12/2020","4.068","4.029","4.341","3.854","2,93B","1,95%"
"01/11/2020","3.990","3.278","4.283","3.210","4,99B","21,73%"
"01/10/2020","3.278","3.015","3.317","2.985","2,85B","10,53%"
"01/09/2020","2.966","3.463","3.600","2.927","4,10B","-13,39%"
"01/08/2020","3.424","3.093","3.727","2.898","3,53B","11,08%"
"01/07/2020","3.083","2.966","3.171","2.956","3,19B","4,29%"
"01/06/2020","2.956","2.878","3.288","2.732","5,71B","2,71%"
"01/05/2020","2.878","2.605","2.878","2.107","6,39B","8,06%"
"01/04/2020","2.663","2.937","3.161","2.498","5,83B","-9,60%"
"01/03/2020","2.946","4.088","4.195","2.381","5,52B","-27,92%"
"01/02/2020","4.088","4.351","4.576","3.815","2,50B","-6,05%"
"01/01/2020","4.351","4.293","4.644","4.215","2,41B","1,37%"
"01/12/2019","4.293","4.049","4.361","4.020","1,84B","7,58%"
"01/11/2019","3.990","4.117","4.224","3.805","2,53B","-2,85%"
"01/10/2019","4.107","4.020","4.215","3.717","2,48B","2,18%"
"01/09/2019","4.020","4.166","4.244","3.922","1,96B","-3,51%"
"01/08/2019","4.166","4.380","4.400","3.902","2,43B","-4,69%"
"01/07/2019","4.371","4.293","4.449","4.254","1,70B","2,75%"
"01/06/2019","4.254","4.117","4.293","4.049","1,73B","6,34%"
"01/05/2019","4.000","4.312","4.312","3.571","3,38B","-6,18%"
"01/04/2019","4.263","4.039","4.615","4.029","2,20B","6,07%"
"01/03/2019","4.020","3.776","4.039","3.688","2,14B","7,01%"
"01/02/2019","3.756","3.785","3.902","3.659","1,88B","0,00%"
"01/01/2019","3.756","3.522","3.776","3.493","2,80B","5,19%"
"01/12/2018","3.571","3.629","3.688","3.434","2,10B","1,10%"
"01/11/2018","3.532","3.112","3.668","3.083","2,82B","14,92%"
"01/10/2018","3.073","3.073","3.112","2.800","2,22B","0,00%"
"01/09/2018","3.073","3.102","3.141","2.829","2,44B","-0,94%"
"01/08/2018","3.102","2.995","3.385","2.946","2,54B","3,58%"
"01/07/2018","2.995","2.820","3.034","2.702","2,25B","8,10%"
"01/06/2018","2.771","3.073","3.190","2.673","2,54B","-7,79%"
"01/05/2018","3.005","3.151","3.220","2.654","4,60B","-4,35%"
"01/04/2018","3.141","3.415","3.580","3.044","2,09B","-10,56%"
"01/03/2018","3.512","3.707","3.727","3.366","2,55B","-4,76%"
"01/02/2018","3.688","3.639","3.815","3.561","2,11B","2,16%"
"01/01/2018","3.610","3.600","3.824","3.376","2,68B","1,65%"
"01/12/2017","3.551","3.249","3.629","3.181","1,56B","13,40%"
"01/11/2017","3.132","3.039","3.327","3.039","2,49B","2,88%"
"01/10/2017","3.044","2.981","3.073","2.951","2,11B","2,13%"
"01/09/2017","2.981","2.922","3.073","2.863","1,78B","0,99%"
"01/08/2017","2.951","2.907","2.995","2.883","1,75B","2,37%"
"01/07/2017","2.883","2.927","3.024","2.790","2,50B","-3,12%"
"01/06/2017","2.976","2.839","2.985","2.771","1,35B","5,35%"
"01/05/2017","2.824","2.561","2.985","2.537","2,63B","12,21%"
"01/04/2017","2.517","2.532","2.585","2.424","1,52B","-0,58%"
"01/03/2017","2.532","2.312","2.585","2.312","2,52B","8,58%"
"01/02/2017","2.332","2.302","2.366","2.273","2,02B","1,92%"
"01/01/2017","2.288","2.293","2.405","2.259","1,57B","0,43%"
"01/12/2016","2.278","2.127","2.317","2.102","2,09B","7,11%"
"01/11/2016","2.127","2.390","2.532","2.034","3,42B","-10,66%"
"01/10/2016","2.381","2.381","2.420","2.307","1,85B","0,00%"
"01/09/2016","2.381","2.254","2.390","2.244","2,47B","4,72%"
"01/08/2016","2.273","2.263","2.390","2.239","3,38B","1,08%"
"01/07/2016","2.249","2.127","2.341","2.088","2,43B","6,71%"
"01/06/2016","2.107","2.020","2.132","1.932","2,36B","4,35%"
"01/05/2016","2.020","2.039","2.083","1.859","2,73B","0,00%"
"01/04/2016","2.020","2.205","2.205","1.912","3,59B","-9,41%"
"01/03/2016","2.229","2.146","2.244","2.078","2,88B","3,16%"
"01/02/2016","2.161","2.215","2.400","2.034","3,58B","-1,33%"
"01/01/2016","2.190","2.224","2.307","2.098","2,17B","-1,75%"
"01/12/2015","2.229","2.151","2.263","2.034","2,03B","6,03%"
"01/11/2015","2.102","2.020","2.263","1.990","2,42B","2,38%"
"01/10/2015","2.054","1.702","2.283","1.668","3,41B","21,67%"
"01/09/2015","1.688","2.029","2.059","1.556","3,36B","-18,59%"
"01/08/2015","2.073","1.976","2.122","1.761","3,28B","6,25%"
"01/07/2015","1.951","2.020","2.127","1.815","2,88B","-3,38%"
"01/06/2015","2.020","2.288","2.298","1.961","4,00B","-12,10%"
"01/05/2015","2.298","2.224","2.488","2.224","2,81B","1,29%"
"01/04/2015","2.268","2.590","2.624","2.195","3,14B","-12,43%"
"01/03/2015","2.590","2.512","2.590","2.459","2,35B","3,10%"
"01/02/2015","2.512","2.278","2.546","2.263","3,35B","10,28%"
"01/01/2015","2.278","2.249","2.361","2.210","2,80B","0,22%"
"01/12/2014","2.273","2.244","2.288","2.146","2,32B","1,08%"
"01/11/2014","2.249","2.171","2.254","2.068","1,83B","4,06%"
